,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2019-10-29,"We see you @SilvaObame 💪🏀

#Gamecocks #Family @MiamiHEAT https://t.co/rQjhMduqcB",3,4,4,,23,MIA,,ATL,W (+15),0,14,1,2,0.5,0,0,,0,0,,4,1,5,1,2,0,3,3,2,2.6,-12,0
1,1,2020-01-28,I can’t sleep 💔,31,47,32,,23,MIA,,BOS,L (-8),0,10,0,2,0.0,0,0,,1,2,0.5,2,3,5,0,3,0,0,2,1,3.7,-6,0
2,2,2020-02-09,Pause @FrankMartin_SC,35,52,36,,23,MIA,@,POR,L (-6),0,13,2,6,0.333,0,0,,0,0,,2,2,4,2,0,0,1,3,4,1.8,1,0
